,timestamp,hours
146,2017-07-18 10:31:00,2.0
147,2017-07-18 17:30:00,6.0
148,2017-07-18 17:50:00,7.5
149,2017-07-18 17:54:00,9.5
150,2017-07-18 18:06:00,8.0
151,2017-07-18 19:00:00,16.0
152,2017-07-18 19:01:00,5.0
153,2017-07-18 19:03:00,7.25
154,2017-07-18 19:05:00,14.0
155,2017-07-18 19:06:00,7.0
156,2017-07-18 19:30:00,9.5
157,2017-07-19 00:45:00,1.0
158,2017-07-19 02:38:00,2.0
159,2017-07-19 08:38:00,1.0
160,2017-07-19 16:48:00,5.5
161,2017-07-19 17:52:00,0.25
162,2017-07-19 18:12:00,7.5
163,2017-07-19 18:15:00,6.0
164,2017-07-19 18:16:00,7.0
165,2017-07-19 18:26:00,6.0
166,2017-07-19 18:38:00,7.5
167,2017-07-20 00:12:00,4.0
168,2017-07-20 01:03:00,7.5
169,2017-07-20 01:58:00,15.0
170,2017-07-20 02:07:00,8.0
171,2017-07-20 02:14:00,15.0
172,2017-07-20 05:21:00,10.0
173,2017-07-20 09:48:00,1.5
174,2017-07-20 16:32:00,6.0
175,2017-07-20 16:57:00,7.5
176,2017-07-20 17:55:00,6.25
177,2017-07-20 18:11:00,7.75
178,2017-07-20 18:14:00,6.5
179,2017-07-20 18:42:00,16.75
180,2017-07-20 18:43:00,7.0
181,2017-07-20 18:44:00,6.75
182,2017-07-20 18:48:00,6.0
183,2017-07-20 18:58:00,4.75
184,2017-07-20 21:16:00,7.0
185,2017-07-20 22:16:00,2.0
186,2017-07-20 23:11:00,2.5
187,2017-07-21 15:20:00,9.5
188,2017-07-21 18:09:00,5.0
189,2017-07-21 18:15:00,1.5
190,2017-07-21 18:20:00,7.0
191,2017-07-21 18:52:00,7.5
192,2017-07-21 18:53:00,6.0
193,2017-07-21 19:03:00,8.5
194,2017-07-21 19:25:00,7.0
195,2017-07-22 00:11:00,7.0
196,2017-07-22 10:33:00,7.0
197,2017-07-22 18:04:00,3.0
198,2017-07-22 20:47:00,9.0
199,2017-07-22 22:04:00,6.0
200,2017-07-23 00:09:00,14.0
201,2017-07-23 00:39:00,3.0
202,2017-07-23 00:47:00,7.0
203,2017-07-23 16:13:00,3.0
204,2017-07-24 00:13:00,6.0
205,2017-07-24 00:36:00,3.0
206,2017-07-24 18:15:00,8.5
207,2017-07-24 18:17:00,15.0
208,2017-07-24 19:24:00,6.0
209,2017-07-24 19:26:00,11.0
210,2017-07-24 19:39:00,5.5
211,2017-07-24 21:07:00,7.0
212,2017-07-24 22:11:00,0.5
213,2017-07-24 22:31:00,1.5
214,2017-07-25 00:24:00,8.5
215,2017-07-25 00:49:00,2.0
216,2017-07-25 03:03:00,5.0
217,2017-07-25 08:19:00,4.0
218,2017-07-25 10:19:00,5.0
219,2017-07-25 10:23:00,4.25
220,2017-07-25 17:12:00,4.5
221,2017-07-25 17:20:00,2.75
222,2017-07-25 17:35:00,7.0
223,2017-07-25 17:54:00,1.5
224,2017-07-25 18:26:00,7.5
225,2017-07-25 18:28:00,5.5
226,2017-07-25 18:44:00,7.0
227,2017-07-25 18:50:00,7.5
228,2017-07-25 18:54:00,8.0
229,2017-07-25 19:16:00,5.0
230,2017-07-25 19:33:00,8.0
231,2017-07-25 21:17:00,6.0
232,2017-07-25 22:12:00,2.0
233,2017-07-25 23:26:00,2.0
234,2017-07-26 00:45:00,9.0
235,2017-07-26 01:49:00,1.5
236,2017-07-26 18:10:00,5.0
237,2017-07-26 18:21:00,4.0
238,2017-07-26 18:25:00,13.5
239,2017-07-26 18:44:00,7.0
240,2017-07-26 19:00:00,7.0
241,2017-07-26 19:15:00,5.5
242,2017-07-26 19:19:00,9.0
243,2017-07-26 19:21:00,16.5
244,2017-07-26 20:09:00,7.5
245,2017-07-26 20:24:00,6.5
246,2017-07-27 00:47:00,3.0
247,2017-07-27 01:15:00,2.0
248,2017-07-27 01:21:00,10.0
249,2017-07-27 01:45:00,0.5
250,2017-07-27 09:22:00,2.0
251,2017-07-27 16:50:00,6.5
252,2017-07-27 18:23:00,7.0
253,2017-07-27 18:34:00,4.5
254,2017-07-27 18:38:00,7.25
255,2017-07-27 18:46:00,7.5
256,2017-07-28 00:46:00,4.5
257,2017-07-28 01:23:00,4.0
258,2017-07-28 02:19:00,4.5
259,2017-07-28 02:36:00,2.0
260,2017-07-28 10:15:00,7.25
261,2017-07-28 10:17:00,7.75
262,2017-07-28 10:33:00,4.75
263,2017-07-28 13:23:00,8.0
264,2017-07-28 15:09:00,3.0
265,2017-07-28 18:40:00,8.0
266,2017-07-28 18:41:00,9.0
267,2017-07-28 19:02:00,3.75
268,2017-07-28 19:05:00,2.75
269,2017-07-28 19:08:00,12.75
270,2017-07-28 19:24:00,6.5
271,2017-07-29 00:07:00,7.0
272,2017-07-29 22:13:00,4.0
273,2017-07-29 22:39:00,5.0
274,2017-07-31 10:29:00,7.0
275,2017-07-31 14:42:00,6.0
276,2017-07-31 16:33:00,1.5
277,2017-07-31 16:47:00,6.5
